title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
Man on Fire	2004	70000000	146	7.8	234239	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	1362363422	Zárate,Jorge	Trujillo,NydiaA.	Scott,Tony(I)	Quinnell,A.J.	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man on a Ledge	2012	42000000	102	6.6	114353	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	4.5	PG-13	46221189	Yaegashi,James	Williamson,Afton	Leth,Asger	Fenjves,PabloF.	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man on the Moon	1999	52000000	118	7.5	92774	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	R	269956550	Zmuda,Bob	Zients,Rachel	Forman,Milos	Karaszewski,Larry	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man's Best Friend	1993	6000000	87	5.0	2750	4.5	4.5	14.5	14.5	24.5	14.5	14.5	4.5	4.5	4.5	R	12974636	Zamora,Del	Stuart,Arlen	Lafia,John	Lafia,John	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man-Thing	2005	7500000	96	4.1	4408	14.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	R	143615	Zappa,William	Taylor,Rachael(II)	Leonard,Brett(I)	Rodionoff,Hans	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mandela: Long Walk to Freedom	2013	35000000	141	7.1	16853	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	4.5	14.5	PG-13	57877040	Walton,PatrickJohn	Whitefield,Emily	Chadwick,Justin(I)	Nicholson,William	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Manderlay	2005	14200000	139	7.4	16835	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5		469101	Wolf,Nick(I)	Sosanya,Nina	vonTrier,Lars	vonTrier,Lars	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manhattan Murder Mystery	1993	13500000	104	7.4	24879	4.5	4.5	4.5	4.5	4.5	14.5	34.5	34.5	14.5	4.5	PG	11285588	Wheeler,Ira	Turturro,Aida	Allen,Woody	Brickman,Marshall	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manhunter	1986	15000000	124	7.2	44171	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5		8660929	Zubiena,Jim(I)	WintersII,Lisa	Mann,Michael(I)	Mann,Michael(I)	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maniac	1980	350000	87	6.5	8841	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	14.5		6000000	Spinell,Joe	Winston,Janelle	Lustig,William	Spinell,Joe	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
